TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.78,2.56598240469208,-15.5,149.282205278592,143.26542228739
00:01.59,1.79863147605083,-15.5,138.603612903226,138.608863147605
00:02.41,1.74486803519062,-15.5,135.637337243402,137.338892473118
00:03.23,1.72531769305963,-15.5,135.044082111437,137.338892473118
