TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.19745845552297,0.41,27.79
00:00.11,0.948191593352884,0.17,30.10
00:00.17,0.83088954056696,-0.24,29.18
00:00.22,0.796676441837732,-0.11,27.79
00:00.28,0.786901270772238,-0.15,28.25
00:00.34,0.752688172043011,-0.24,27.33
00:00.39,0.762463343108504,-0.25,28.71
00:00.45,0.752688172043011,-0.24,29.18
00:00.51,0.73802541544477,-0.25,28.71
00:00.56,0.767350928641251,-0.8,29.18
00:00.62,0.718475073313783,-0.11,27.79
00:00.67,0.733137829912023,-0.52,28.71
00:00.73,0.752688172043011,-0.25,28.25
00:00.78,0.733137829912023,-0.39,28.25
00:00.84,0.742913000977517,-1.08,29.18
00:00.89,0.752688172043011,-0.39,28.25
00:00.94,0.742913000977517,-0.39,29.64
00:01.01,0.728250244379277,-0.38,29.18
00:01.06,0.747800586510264,-0.11,27.79
00:01.12,0.718475073313783,0.03,31.03
00:01.18,0.752688172043011,0.03,27.79
00:01.23,0.728250244379277,-0.11,29.18
00:01.28,0.703812316715543,0.03,29.18