TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:06.40,0.698924731182796,-0.4,24.55,24.02
00:06.45,0.718475073313783,-0.13,25.94,24.02
00:06.50,0.718475073313783,-0.4,26.87,24.43
00:06.55,0.698924731182796,-0.13,24.55,24.43
00:06.61,0.674486803519062,-0.41,24.55,25.66
00:06.66,0.698924731182796,-0.16,25.02,24.84
00:06.71,0.718475073313783,-0.14,25.94,25.25
00:06.77,0.718475073313783,-0.27,26.40,24.43
00:06.82,0.698924731182796,-0.27,25.48,24.02
00:06.87,0.664711632453568,-0.54,23.17,24.43
00:06.93,0.694037145650049,-0.27,23.17,23.19
00:06.98,0.703812316715543,-0.53,24.09,24.43
00:07.03,0.718475073313783,-0.26,27.33,24.02
00:07.09,0.698924731182796,-0.13,25.94,25.66
00:07.14,0.694037145650049,-0.13,24.55,25.66
00:07.19,0.698924731182796,0.01,24.55,24.02
00:07.25,0.718475073313783,-0.4,25.02,24.84
00:07.30,0.72336265884653,-0.4,25.48,24.02
00:07.35,0.708699902248289,0.01,25.48,25.25
00:07.41,0.674486803519062,0.01,25.48,25.66
00:07.46,0.689149560117302,0.14,23.17,24.43
00:07.51,0.708699902248289,-0.14,24.09,25.25
00:07.57,0.73802541544477,0.1,25.48,22.78
00:07.62,0.698924731182796,-0.14,25.48,24.02
00:07.67,0.679374389051808,-0.14,25.94,24.02
00:07.73,0.689149560117302,-0.4,23.17,24.84
00:07.78,0.718475073313783,0,22.24,25.25
00:07.83,0.733137829912023,-0.31,24.09,24.43
00:07.89,0.698924731182796,0.27,26.40,24.84
00:07.94,0.684261974584555,-0.28,25.48,25.66
00:07.99,0.698924731182796,-0.67,24.55,25.25
00:08.04,0.708699902248289,-0.28,24.55,26.90
00:08.10,0.72336265884653,-0.54,25.94,24.02
00:08.15,0.703812316715543,-0.15,26.40,24.43
00:08.20,0.674486803519062,0.55,22.70,24.84
00:08.26,0.679374389051808,-0.15,24.55,24.43
00:08.31,0.703812316715543,0.41,26.40,24.43
00:08.36,0.72336265884653,0.45,26.87,24.84
00:08.42,0.698924731182796,-0.4,24.55,25.25
00:08.47,0.679374389051808,-0.01,25.48,24.43
00:08.52,0.689149560117302,0.13,24.09,24.43
00:08.58,0.698924731182796,-0.01,23.63,24.84
00:08.63,0.713587487781036,0.37,25.48,24.02
00:08.69,0.698924731182796,-0.15,26.87,24.84
00:08.74,0.679374389051808,-0.19,25.48,25.25
00:08.79,0.689149560117302,0.41,23.63,24.84
00:08.84,0.694037145650049,0.4,23.17,24.84
00:08.90,0.72336265884653,0.27,25.02,24.84
00:08.95,0.703812316715543,-0.28,25.48,25.25
00:09.00,0.684261974584555,-0.67,25.02,24.43
00:09.06,0.679374389051808,-0.28,24.09,24.43
00:09.11,0.694037145650049,-0.54,25.48,24.84
00:09.16,0.72336265884653,-0.28,25.48,24.02
00:09.22,0.703812316715543,0.27,26.40,24.02
00:09.27,0.674486803519062,0.41,24.09,25.25
00:09.33,0.669599217986315,-0.15,24.55,25.66
00:09.38,0.698924731182796,-0.42,24.09,24.84
00:09.43,0.72336265884653,0.83,25.48,23.61
00:09.48,0.708699902248289,0.86,24.09,25.25
00:09.54,0.684261974584555,0.4,25.48,25.25
00:09.59,0.679374389051808,0.4,23.63,25.25
00:09.64,0.703812316715543,0.4,24.55,25.25
00:09.70,0.728250244379277,0.27,25.48,24.43
00:09.75,0.708699902248289,0.37,25.02,24.43
