TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.20234604105572
00:00.11,0.948191593352884
00:00.17,0.81622678396872
00:00.23,0.801564027370479
00:00.28,0.772238514173998
00:00.34,0.777126099706745
00:00.40,0.772238514173998
00:00.46,0.757575757575758
00:00.51,0.762463343108504
00:00.57,0.742913000977517
00:00.63,0.762463343108504
00:00.69,0.733137829912023
00:00.74,0.762463343108504
00:00.80,0.752688172043011
00:00.86,0.752688172043011
00:00.91,0.767350928641251
00:00.97,0.742913000977517
00:01.03,0.762463343108504
00:01.09,0.72336265884653
00:01.15,0.762463343108504
00:01.21,0.733137829912023
00:01.26,0.752688172043011
00:01.32,0.728250244379277
00:01.38,0.762463343108504
00:01.43,0.728250244379277
00:01.49,0.747800586510264
00:01.55,0.747800586510264
00:01.61,0.742913000977517
00:01.67,0.747800586510264
00:01.73,0.757575757575758
