TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.13,1.17302052785924,0.5,6.99,14.55
00:00.25,0.874877810361681,0.09,7.45,14.96
00:00.38,0.757575757575758,0.18,7.91,15.38
00:00.51,0.703812316715543,-0.08,9.3,14.96
00:00.63,0.73802541544477,0.08,6.99,14.96
00:00.77,0.694037145650049,0.09,13.92,13.73
00:00.89,0.689149560117302,0.08,9.76,13.32
00:01.02,0.728250244379277,-0.04,7.45,14.96
00:01.15,0.708699902248289,-0.04,7.91,15.38
00:01.27,0.698924731182796,0.23,9.76,14.55
00:01.40,0.733137829912023,0.19,7.45,14.96
00:01.53,0.689149560117302,-0.21,7.91,13.73
00:01.65,0.718475073313783,-0.18,9.3,13.73
00:01.78,0.728250244379277,-0.06,6.99,13.32
00:01.91,0.694037145650049,-0.04,8.37,14.96
00:02.04,0.728250244379277,-0.45,8.37,14.55
00:02.17,0.694037145650049,-0.18,10.22,14.55
00:02.29,0.694037145650049,0.22,8.84,13.73
00:02.42,0.72336265884653,-0.06,7.91,13.73
00:02.55,0.703812316715543,-0.21,9.3,14.96
00:02.67,0.684261974584555,-0.32,9.3,14.55
00:02.80,0.728250244379277,0.09,8.84,15.79
00:02.93,0.689149560117302,-0.17,9.76,15.79
00:03.05,0.708699902248289,-0.18,7.45,14.14
00:03.18,0.72336265884653,0.23,9.3,14.55
00:03.31,0.684261974584555,0.09,8.37,13.73
00:03.44,0.728250244379277,0.09,8.84,15.38
00:03.56,0.703812316715543,0.09,9.76,14.55
00:03.69,0.689149560117302,0.22,7.91,14.96
00:03.82,0.728250244379277,0.1,9.3,14.55
00:03.95,0.679374389051808,0.09,7.45,13.73
00:04.07,0.718475073313783,0.23,9.76,14.96
00:04.20,0.708699902248289,-0.05,9.76,14.55
00:04.33,0.679374389051808,0.09,8.84,13.73
00:04.45,0.728250244379277,0.09,9.76,15.38
00:04.58,0.689149560117302,-0.21,13.46,14.55
00:04.71,0.708699902248289,-0.21,12.07,14.96
00:04.84,0.728250244379277,-0.31,7.45,14.96
00:04.96,0.703812316715543,-0.18,8.84,15.38
00:05.09,0.684261974584555,-0.32,8.37,14.14
00:05.22,0.733137829912023,-0.31,13,14.14
00:05.40,0.708699902248289,0.09,9.3,14.55
00:05.53,0.713587487781036,-0.21,8.84,13.73
00:05.65,0.73802541544477,0.06,6.99,14.96
00:05.78,0.689149560117302,-0.21,8.84,14.55
00:05.91,0.708699902248289,-0.18,11.15,14.55
00:06.04,0.718475073313783,0.1,12.54,15.79
00:06.16,0.684261974584555,0.09,7.91,15.38
00:06.29,0.689149560117302,0.09,7.91,14.96
00:06.42,0.72336265884653,0.23,7.91,14.96
00:06.55,0.684261974584555,-0.18,13,14.55
00:06.67,0.684261974584555,0.09,13,14.96
00:06.81,0.728250244379277,0.09,10.22,13.73
00:06.93,0.728250244379277,-0.19,8.37,14.55
00:07.06,0.684261974584555,-0.31,11.61,14.14
00:07.19,0.718475073313783,0.09,9.3,16.2
