TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.19257086999022,-0.25,25.48,26.49
00:00.11,0.928641251221896,-0.23,25.48,26.49
00:00.16,0.83088954056696,-0.1,26.4,25.66
00:00.22,0.762463343108504,-0.11,25.48,26.49
00:00.28,0.772238514173998,-0.1,25.94,24.84
00:00.33,0.747800586510264,-0.1,25.94,25.66
00:00.39,0.73802541544477,-0.11,26.87,25.66
00:00.45,0.747800586510264,-0.14,27.33,26.08
00:00.50,0.72336265884653,-0.1,26.87,25.25
00:00.56,0.757575757575758,0.03,25.94,25.25
00:00.61,0.713587487781036,0.03,26.4,26.08
00:00.67,0.72336265884653,0.03,25.94,26.08
00:00.73,0.747800586510264,-0.1,25.48,26.08
00:00.79,0.728250244379277,0.03,25.02,25.25
00:00.84,0.752688172043011,0.03,29.64,25.25
00:00.90,0.752688172043011,0.03,26.87,26.08
00:00.95,0.713587487781036,0.17,25.02,26.08
00:01.01,0.733137829912023,0.17,24.09,24.43
00:01.06,0.728250244379277,0.17,25.48,25.66
00:01.11,0.713587487781036,0.31,25.48,26.49
00:01.17,0.713587487781036,0.68,26.4,25.66
00:01.23,0.742913000977517,1.3,29.64,25.25
00:01.28,0.713587487781036,0.71,25.94,26.90
00:01.34,0.72336265884653,0.71,25.48,25.25
00:01.40,0.733137829912023,0.68,25.94,26.08
00:01.45,0.718475073313783,0.82,23.17,25.25
00:01.51,0.747800586510264,0.68,25.02,26.49
00:01.56,0.72336265884653,0.68,25.02,26.90
00:01.61,0.698924731182796,0.68,26.87,26.08
00:01.67,0.713587487781036,0.99,25.48,26.49
00:01.72,0.742913000977517,1.26,25.02,26.49
00:01.78,0.718475073313783,0.99,26.4,26.08
00:01.84,0.728250244379277,0.99,25.94,24.84
00:01.90,0.733137829912023,0.71,26.87,26.49
00:01.95,0.713587487781036,1.13,25.48,25.66
00:02.01,0.73802541544477,1.41,25.48,26.08
00:02.07,0.708699902248289,1.28,28.71,25.25
00:02.13,0.733137829912023,1.41,25.48,26.49
00:02.18,0.708699902248289,1.28,26.4,28.54
00:02.24,0.718475073313783,0.58,24.09,25.25
00:02.29,0.742913000977517,0.99,29.18,25.66
00:02.35,0.718475073313783,0.85,25.94,25.66
00:02.41,0.733137829912023,0.95,25.48,26.08
00:02.47,0.708699902248289,1.09,26.87,25.66
00:02.52,0.72336265884653,0.95,26.87,25.66
00:02.58,0.728250244379277,0.95,26.87,25.66
00:02.64,0.713587487781036,0.85,25.48,25.25
00:02.69,0.733137829912023,0.99,25.02,26.08
00:02.75,0.713587487781036,0.99,25.48,25.66
00:02.81,0.742913000977517,0.99,28.25,26.90
00:02.86,0.708699902248289,0.99,26.4,26.08
00:02.92,0.713587487781036,0.85,24.55,26.08
00:02.98,0.747800586510264,0.85,25.48,26.49
00:03.03,0.694037145650049,0.85,25.02,26.90
00:03.09,0.713587487781036,0.71,25.94,25.66
00:03.15,0.72336265884653,0.99,28.25,26.49
00:03.20,0.728250244379277,0.71,25.48,25.66
00:03.26,0.742913000977517,1.28,26.4,26.08
00:03.32,0.703812316715543,1.13,25.02,25.66
00:03.38,0.73802541544477,0.85,25.94,25.25
00:03.43,0.703812316715543,0.03,24.09,28.96
00:03.49,0.733137829912023,0.03,26.87,25.66
00:03.55,0.72336265884653,0.17,26.87,26.49
00:03.60,0.72336265884653,-0.1,24.55,26.08
00:03.66,0.733137829912023,0.03,27.33,25.66
00:03.72,0.703812316715543,-0.14,24.09,26.08
00:03.77,0.713587487781036,-0.11,26.4,25.25
00:03.83,0.72336265884653,-0.11,26.4,26.49
00:03.89,0.72336265884653,-0.11,24.09,26.08
00:03.94,0.73802541544477,-0.11,26.4,26.08
00:04.00,0.689149560117302,-0.24,26.4,27.31
00:04.05,0.703812316715543,-0.24,25.94,25.66
00:04.10,0.72336265884653,-0.24,26.4,26.08
00:04.16,0.728250244379277,-0.24,27.33,26.49
00:04.22,0.713587487781036,-0.24,25.94,26.08
00:04.27,0.73802541544477,-0.11,25.02,26.08
00:04.33,0.72336265884653,-0.11,26.87,25.66
00:04.39,0.708699902248289,-0.11,28.71,25.66
00:04.44,0.73802541544477,-0.11,25.94,26.08
00:04.50,0.72336265884653,-0.11,25.94,25.66
00:04.56,0.733137829912023,0.03,27.79,26.08
00:04.62,0.703812316715543,-0.11,24.55,25.66
00:04.67,0.73802541544477,-0.11,25.94,24.43
00:04.73,0.713587487781036,-0.11,29.18,26.08
00:04.78,0.703812316715543,-0.14,25.48,25.66
00:04.84,0.72336265884653,-0.14,26.4,25.25
00:04.89,0.73802541544477,-0.56,25.94,24.43