TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.13,2.85923753665689,0.36,8.84,14.96
00:01.20,1.24633431085044,0.21,11.15,15.38
00:01.99,1.11925708699902,0.35,9.3,14.96
00:02.75,1.09970674486804,0.49,8.37,14.96
00:03.37,1.04594330400782,0.36,10.69,14.96
00:03.96,1.02639296187683,0.09,8.37,14.96
00:04.48,1.03128054740958,0.22,10.22,14.55
00:05.09,1.06549364613881,0.35,12.54,15.38
00:05.50,0.987292277614858,0.23,10.22,14.96
00:05.83,0.943304007820137,-0.1,8.84,14.55
00:06.28,0.977517106549365,0.49,9.76,15.38
00:06.61,0.943304007820137,0.07,9.76,14.55
00:06.89,0.918866080156403,0.45,9.3,14.14
00:07.41,0.992179863147605,0.49,9.76,14.96
00:07.71,0.92375366568915,0.37,9.76,15.38
00:08.18,0.967741935483871,0.36,11.15,14.96
00:09.04,1.06549364613881,0.04,9.76,14.96
00:09.27,0.884652981427175,0.49,8.84,14.96
00:09.67,0.977517106549365,0.45,10.69,15.79
00:10.34,1.05571847507331,0.36,10.22,14.96
00:10.69,0.962854349951124,0.36,8.84,15.79
00:10.92,0.855327468230694,0.59,10.69,15.38
00:11.21,0.904203323558162,0.49,12.54,15.79
00:11.47,0.899315738025415,0.48,10.69,14.55
00:11.73,0.865102639296188,0.06,10.22,14.55
00:12.01,0.869990224828935,0.23,9.76,17.02
00:12.27,0.884652981427175,0.35,9.76,15.79
00:12.56,0.904203323558162,-0.08,10.22,14.14
00:12.86,0.92375366568915,0.07,8.84,15.79
00:13.12,0.899315738025415,0.18,9.3,15.38
00:13.40,0.909090909090909,0.2,7.91,14.14
00:13.70,0.879765395894428,-0.36,8.84,14.96
00:13.98,0.899315738025415,-0.06,9.3,14.96
00:14.26,0.909090909090909,0.2,10.22,15.38
00:14.55,0.909090909090909,-0.19,9.76,14.55
00:14.84,0.909090909090909,0.35,8.37,14.96
00:15.13,0.909090909090909,0.17,8.84,14.55
00:15.42,0.889540566959922,-0.2,11.15,14.96
00:15.71,0.909090909090909,0.35,9.76,14.55
00:15.99,0.909090909090909,-0.06,11.15,15.79
00:16.28,0.894428152492669,-0.06,8.84,14.96
00:16.57,0.874877810361681,0.21,10.69,14.55
00:16.86,0.889540566959922,0.08,9.76,14.14
00:17.16,0.894428152492669,0.09,9.76,14.96
00:17.48,0.889540566959922,0.21,8.37,14.55
00:17.78,0.894428152492669,0.09,9.76,14.96
00:18.07,0.913978494623656,0.07,8.84,14.55
00:18.36,0.879765395894428,0.07,11.15,14.96
00:18.67,0.894428152492669,-0.06,9.76,15.38
00:18.97,0.904203323558162,0.34,9.76,14.55
00:19.27,0.918866080156403,0.74,7.91,15.79
00:19.56,0.889540566959922,0.61,11.15,15.38
00:19.84,0.874877810361681,0.34,13.46,14.96
00:20.13,0.894428152492669,0.3,9.76,15.38
00:20.43,0.899315738025415,0.34,11.15,15.79
00:21.37,1.07038123167155,0.34,9.76,15.38
