TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:02.88,1.73998044965787,34.25,34.25,81.41
00:04.30,0.606158357771261,355,34.25,123.61
00:07.18,1.7741935483871,34.25,34.25,81.88
00:08.60,0.610166177908113,354,34.25,123.2
00:11.48,1.75464320625611,34.25,34.25,81.88
00:12.90,0.664516129032258,355,34.25,114.56
00:15.79,1.6911045943304,34.25,34.25,68.01
00:17.20,0.644379276637341,338,34.25,118.26
00:20.09,1.6177908113392,34.25,34.25,75.4
00:21.50,0.610166177908113,346,34.25,123.2
00:24.38,1.70576735092864,34.25,34.25,68.93
00:25.80,0.646383186705767,334,34.25,118.67
00:28.69,1.63734115347019,34.25,34.25,77.71
00:30.10,0.604154447702835,352,34.25,126.08
00:32.98,1.72531769305963,34.25,34.25,77.71
00:34.40,0.608162267839687,347,34.25,124.84
00:37.29,1.72531769305963,34.25,34.25,81.41
00:38.70,0.618230694037146,353,34.25,128.96
00:41.58,1.78885630498534,34.25,34.25,90.66
00:42.99,0.614222873900293,374,34.25,130.61
00:45.88,1.62756598240469,34.25,34.25,75.87
00:47.29,0.606158357771261,353,34.25,125.26
00:50.18,1.70576735092864,34.25,34.25,81.41
00:51.59,0.616226783968719,348,34.25,122.79
00:54.48,1.7741935483871,34.25,34.25,84.65
00:55.89,0.618230694037146,360,34.25,122.37
00:58.78,1.79374389051808,34.25,34.25,84.65
01:00.19,0.610166177908113,360,34.25,125.67
01:03.08,1.91593352883675,34.25,34.25,98.52
01:04.49,0.586070381231672,381,34.25,135.54
01:07.38,1.9208211143695,34.25,34.25,97.59
01:08.79,0.571945259042033,381,34.25,135.96
01:11.67,1.62756598240469,34.25,34.25,69.39
01:13.09,0.600146627565982,333,34.25,128.55
01:15.97,1.70087976539589,34.25,34.25,78.18
01:17.39,0.586070381231672,347,34.25,124.43
01:20.27,1.72043010752688,34.25,34.25,76.79
01:21.69,0.614222873900293,348,34.25,128.14
01:24.58,1.73509286412512,34.25,34.25,88.81
01:25.99,0.678592375366569,369,34.25,115.79
01:28.88,1.89149560117302,34.25,34.25,86.96
01:30.29,0.620234604105572,365,34.25,126.49
01:33.18,1.8475073313783,34.25,34.25,85.57
01:34.60,0.596089931573803,354,34.25,130.61
01:37.48,1.81329423264907,34.25,34.25,88.81
01:38.89,0.59208211143695,366,34.25,130.61
01:41.78,1.81329423264907,34.25,34.25,85.57
01:43.19,0.59208211143695,361,34.25,131.43
01:46.08,1.79863147605083,34.25,34.25,85.57
01:47.49,0.594086021505376,361,34.25,128.14
01:50.37,1.71554252199413,34.25,34.25,79.56
01:51.79,0.616226783968719,353,34.25,126.49
01:54.68,1.74486803519062,34.25,34.25,79.1
01:56.09,0.612218963831867,352,34.25,124.84
01:58.97,1.80840664711632,34.25,34.25,89.27
02:00.39,0.604154447702835,332,34.25,119.91
02:03.27,1.74975562072336,34.25,34.25,94.36
02:04.68,0.571945259042033,366,34.25,123.61
02:07.60,1.74975562072336,34.25,34.25,85.57
02:09.02,0.584017595307918,353,34.25,125.26
02:11.90,1.72043010752688,34.25,34.25,82.8
02:13.32,0.573998044965787,348,34.25,124.02
