TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:00.05,1.47605083088954,-0.1,29.64,28.54
00:00.11,1.01661779081134,-0.23,29.18,27.31
00:00.17,0.869990224828935,-0.23,30.10,27.31
00:00.22,0.801564027370479,-0.23,29.64,28.13
00:00.28,0.801564027370479,-0.23,29.18,27.72
00:00.34,0.757575757575758,-0.36,29.18,28.13
00:00.40,0.777126099706745,-0.22,30.10,30.19
00:00.45,0.742913000977517,-0.26,28.71,28.13
00:00.51,0.757575757575758,-0.22,28.25,27.31
00:00.57,0.757575757575758,-0.23,29.18,27.31
00:00.62,0.747800586510264,-0.09,28.71,27.72
00:00.68,0.762463343108504,-0.09,29.64,28.13
00:00.74,0.742913000977517,-0.1,29.18,28.13
00:00.79,0.752688172043011,-0.09,29.18,27.72
00:00.85,0.742913000977517,-0.22,29.18,28.13
00:00.90,0.742913000977517,-0.22,29.64,27.31
00:00.96,0.747800586510264,-0.08,29.64,27.72
00:01.06,0.757575757575758,-0.22,29.64,27.31
00:06.19,1.19745845552297,-0.23,29.18,27.72
00:06.25,0.904203323558162,-0.1,28.71,27.72
00:06.30,0.840664711632454,-0.1,28.25,28.54
00:06.36,0.791788856304985,-0.23,29.18,26.49
00:06.41,0.786901270772238,-0.1,31.95,28.13
00:06.46,0.757575757575758,-0.55,30.56,28.13
00:06.51,0.728250244379277,-0.54,29.18,28.54
00:06.57,0.752688172043011,-0.11,28.25,28.13
00:06.62,0.747800586510264,-0.1,30.56,27.72
00:06.68,0.762463343108504,-0.23,30.10,27.31
00:06.73,0.752688172043011,-0.23,30.10,28.13
00:06.79,0.72336265884653,-0.23,29.18,28.96
00:06.85,0.742913000977517,-0.27,29.18,27.72
00:06.90,0.742913000977517,-0.39,28.25,27.72
00:06.95,0.752688172043011,-0.23,27.79,28.13
00:07.00,0.757575757575758,-0.5,29.18,28.13
00:07.06,0.73802541544477,0.02,30.10,27.31
00:07.11,0.733137829912023,0.02,29.18,28.13
00:07.17,0.72336265884653,-0.11,28.71,27.72
00:07.22,0.742913000977517,-0.38,30.10,27.31
00:07.27,0.752688172043011,0.02,30.10,26.90
00:07.32,0.747800586510264,0.02,30.56,28.13
00:07.38,0.733137829912023,0.17,29.64,27.72
00:07.43,0.713587487781036,0.02,29.64,26.90
00:07.48,0.728250244379277,0.9,28.25,28.13
00:07.54,0.747800586510264,0.76,28.71,27.31
00:07.59,0.742913000977517,-0.37,28.71,28.13
00:07.65,0.733137829912023,0.77,30.10,28.13
00:07.70,0.708699902248289,0.03,28.25,27.72
00:07.75,0.728250244379277,0.03,27.33,28.13
00:07.80,0.747800586510264,-0.11,29.64,28.13
00:07.86,0.747800586510264,0.62,29.64,28.13
00:07.91,0.728250244379277,-0.37,32.41,27.31
00:07.96,0.713587487781036,-0.41,28.71,27.72
