TIEMPO, PRESION, DISTANCIA, TEMPERATURA PLACA SUPERIOR, TEMPERATURA PLACA INFERIOR
00:01.50,0.563929618768328,34.25,352,77.25
00:02.92,0.563929618768328,340,34.25,119.49
00:04.42,1.68132942326491,34.25,348,78.64
00:05.83,0.563929618768328,340,34.25,119.91
00:07.33,1.68621700879765,34.25,349,79.1
00:08.74,0.565933528836755,341,34.25,120.32
00:10.25,0.561925708699902,34.25,348,78.64
00:11.66,0.561925708699902,339,34.25,119.49
00:13.17,1.68132942326491,34.25,347,78.64
00:14.58,0.561925708699902,340,34.25,119.49
00:16.08,1.68621700879765,34.25,347,78.64
00:17.50,0.561925708699902,339,34.25,119.49
00:19.00,1.68132942326491,34.25,347,78.18
00:20.41,0.559921798631476,338,34.25,119.08
00:21.92,1.68132942326491,34.25,347,78.64
00:23.33,0.561925708699902,339,34.25,119.49
00:24.84,0.559921798631476,34.25,347,78.64
00:26.25,0.559921798631476,339,34.25,119.49
00:27.75,1.68132942326491,34.25,347,78.64
00:29.16,0.561925708699902,339,34.25,119.49
00:30.67,1.68132942326491,34.25,347,78.18
00:32.08,0.559921798631476,338,34.25,119.08
00:33.58,1.68132942326491,34.25,347,78.64
00:35.00,0.563929618768328,339,34.25,119.91
00:36.50,1.68621700879765,34.25,313,50.9
00:37.92,0.449266862170088,293,34.25,81.63
00:39.42,0.523704789833822,34.25,324,71.71
00:40.83,0.523704789833822,318,34.25,106.32
00:42.33,1.56402737047898,34.25,328,69.86
00:43.74,0.521700879765396,320,34.25,116.61
00:45.25,1.65200391006843,34.25,344,77.25
00:46.67,0.555865102639296,336,34.25,119.08
00:48.18,0.573998044965787,34.25,346,78.18
00:49.59,0.573998044965787,343,34.25,122.79
00:51.09,0.580009775171066,34.25,348,78.64
00:52.50,0.580009775171066,345,34.25,123.2
00:54.01,1.71554252199413,34.25,349,78.64
00:55.42,0.582013685239492,346,34.25,124.02
00:56.93,0.584017595307918,34.25,349,79.1
00:58.34,0.584017595307918,347,34.25,124.02
00:59.85,0.584017595307918,34.25,349,79.1
01:01.25,0.584017595307918,347,34.25,124.02
01:02.77,0.582013685239492,34.25,349,78.64
01:04.18,0.582013685239492,347,34.25,124.02
01:05.68,1.72531769305963,34.25,349,79.1
01:07.10,0.582013685239492,347,34.25,124.02
01:08.60,1.72531769305963,34.25,349,79.1
01:10.01,0.582013685239492,347,34.25,124.02
01:11.52,0.580009775171066,34.25,349,78.64
01:12.93,0.580009775171066,347,34.25,124.02
01:14.43,1.72043010752688,34.25,349,78.64
01:15.85,0.582013685239492,346,34.25,121.14
01:17.35,1.70087976539589,34.25,348,78.64
01:18.76,0.561925708699902,340,34.25,119.49
01:20.26,1.68132942326491,34.25,347,78.18
01:21.68,0.559921798631476,338,34.25,119.08
01:23.18,0.561925708699902,34.25,347,78.18
01:24.59,0.561925708699902,339,34.25,119.08
01:26.10,1.68132942326491,34.25,347,78.64
01:27.51,0.561925708699902,339,34.25,119.49
01:29.01,0.561925708699902,34.25,347,78.18
01:30.43,0.561925708699902,339,34.25,119.49
01:31.94,0.559921798631476,34.25,347,78.64
01:33.35,0.559921798631476,339,34.25,119.08
01:34.85,1.68132942326491,34.25,347,78.64
01:36.26,0.561925708699902,339,34.25,119.08
01:37.77,0.559921798631476,34.25,346,78.18
01:39.18,0.559921798631476,338,34.25,119.08
01:40.68,0.557869012707722,34.25,346,78.18
01:42.09,0.557869012707722,337,34.25,118.67
01:43.60,1.67644183773216,34.25,346,78.18
01:45.01,0.559921798631476,338,34.25,119.49
01:46.51,1.68621700879765,34.25,348,78.64
01:47.93,0.563929618768328,340,34.25,120.32
01:49.43,0.565933528836755,34.25,348,79.1
01:50.85,0.565933528836755,341,34.25,120.32
01:52.35,0.565933528836755,34.25,349,79.1
01:53.76,0.565933528836755,341,34.25,120.32
01:55.26,0.563929618768328,34.25,349,79.1
01:56.68,0.563929618768328,341,34.25,120.32
01:58.18,1.6911045943304,34.25,349,79.1
01:59.59,0.565933528836755,341,34.25,120.32
02:01.10,0.565933528836755,34.25,349,79.1
02:02.50,0.565933528836755,341,34.25,120.32
02:04.01,1.6911045943304,34.25,349,79.1
02:05.42,0.563929618768328,341,34.25,120.32
02:06.93,0.565933528836755,34.25,349,79.1
02:08.34,0.565933528836755,341,34.25,120.32
02:09.84,1.6911045943304,34.25,349,79.1
02:11.26,0.563929618768328,341,34.25,120.32
02:12.76,0.565933528836755,34.25,349,79.1
02:14.17,0.565933528836755,341,34.25,120.32
02:15.68,1.6911045943304,34.25,349,79.1
02:17.09,1.6911045943304,340,34.25,120.32
02:18.60,0.567937438905181,34.25,350,79.56
02:20.01,0.567937438905181,342,34.25,119.91
02:21.51,0.563929618768328,34.25,348,79.1
02:22.93,0.563929618768328,340,34.25,119.91
